Model,Year,Price,KM Driven,Fuel_Type,Registration
Renault Kwid 1.0 RXL Edition,2017,300000,21027,Petrol,Noida
Hyundai i10 Magna,2008,140000,75000,Petrol,Noida
Maruti Suzuki Ertiga ZXi Plus,2019,950000,18655,Petrol,Delhi
Ford EcoSport Trend + 1.5L TDCi,2017,710000,42000,Diesel,Delhi
Hyundai Creta 1.6 SX Plus AT Petrol,2017,1075000,39270,Petrol,Delhi
Mercedes-Benz GLS Grand Edition Diesel,2019,8100000,24000,Diesel,Delhi
Honda Brio S MT,2012,285000,63471,Petrol,Delhi
Volvo V40 D3 R-Design,2016,1750000,78000,Diesel,Delhi
Maruti Suzuki Swift DZire VDI,2014,450000,48816,Diesel,Noida
Renault Duster 110 PS RxL,2016,500000,61926,Diesel,Noida
Maruti Suzuki Celerio LXi,2014,325000,60340,Petrol + 1,Ghaziabad
Maruti Suzuki Ciaz Delta Hybrid 1.5 [2018-2020],2019,775000,33000,Petrol,Delhi
Maruti Suzuki Vitara Brezza ZDi,2016,675000,48132,Diesel,Ghaziabad
Maruti Suzuki Swift DZire LDI,2014,360000,65000,Diesel,Noida
Maruti Suzuki Vitara Brezza ZDi+ Dual Tone [20...,2017,850000,17000,Diesel,Delhi
Hyundai Creta 1.6 SX Plus Petrol,2016,990000,45000,Petrol,Delhi
Maruti Suzuki Baleno Zeta 1.2 AT,2017,690000,5000,Petrol,Delhi
Honda City 1.5 S MT,2009,285000,43000,Petrol,Noida
MG Hector Plus Sharp 1.5 DCT Petrol,2020,1950000,15800,Petrol,Delhi
Maruti Suzuki Swift VDi,2015,395000,56001,Diesel,Noida
Volkswagen Polo Comfortline 1.2L (D),2013,350000,83000,Diesel,Delhi
Hyundai i10 Era,2010,200000,77762,Petrol,Noida
Maruti Suzuki Wagon R 1.0 LXi,2012,275000,78000,Petrol + 1,Noida
Ford EcoSport Titanium 1.5L Ti-VCT,2019,990000,5000,Petrol,Delhi
Honda Amaze 1.2 S i-VTEC,2013,355000,64000,Petrol,Noida
Maruti Suzuki Wagon R 1.0 VXi,2010,190000,62000,Petrol,Delhi
Mahindra Scorpio S4 Plus Intelli-Hybrid,2018,840000,52310,Diesel,Delhi
Honda Amaze 1.2 S i-VTEC,2016,490000,33000,Petrol,Delhi
Maruti Suzuki Vitara Brezza ZDi,2018,765000,65285,Diesel,Delhi
Maruti Suzuki Swift ZXi,2018,670000,7278,Petrol,Delhi
Skoda Superb Style TSI AT,2015,1165000,42000,Petrol,Delhi
Hyundai i10 Magna 1.2 Kappa2,2012,255000,51000,Petrol,Delhi
Hyundai i10 Magna 1.2 Kappa2,2012,255000,51000,Petrol,Delhi
Renault Duster 85 PS RxL Diesel,2014,445000,58789,Diesel,Delhi
Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT...,2017,580000,39220,Petrol,Delhi
Maruti Suzuki SX4 VXi,2009,235000,70000,Petrol,Delhi
Tata Nexon XZA Plus Petrol,2018,945000,20965,Petrol,Delhi
Maruti Suzuki XL6 Alpha AT Petrol,2021,1295000,1120,Petrol,Delhi
Renault Kwid CLIMBER 1.0 AMT [2017-2019],2020,495000,19000,Petrol,Delhi
Datsun GO T [2018-2019],2018,290000,10000,Petrol,Delhi
Maruti Suzuki Swift DZire LDI,2014,425000,54478,Diesel,Delhi
Maruti Suzuki Swift ZXi,2018,670000,7278,Petrol,Delhi
Honda Amaze 1.2 S i-VTEC,2017,525000,12491,Petrol,Delhi
Volkswagen Polo Highline Plus 1.2( P)16 Alloy ...,2017,625000,50037,Petrol,Delhi
Ford Figo Ambiente 1.2 Ti-VCT,2016,375000,30000,Petrol,Delhi
Maruti Suzuki Baleno Delta 1.2,2018,585000,31000,Petrol,Delhi
Maruti Suzuki Dzire VXi AMT,2018,625000,30000,Petrol,Delhi
Maruti Suzuki Alto LXi CNG,2012,175000,72000,CNG + 1,Delhi
Ford EcoSport Titanium + 1.5L Ti-VCT AT [2019-...,2018,1040000,8000,Petrol,Delhi
Hyundai Venue SX 1.0 Petrol [2019-2020],2019,1050000,10027,Petrol,Delhi
Maruti Suzuki Wagon R 1.0 LXi,2012,265000,64589,Petrol,Noida
Hyundai Eon D-Lite +,2012,215000,48940,Petrol,Noida
Hyundai Grand i10 Asta AT 1.2 Kappa VTVT [2013...,2015,510000,56000,Petrol,Delhi
Toyota Yaris VX CVT [2018-2020],2018,1050000,35500,Petrol,Delhi
Honda Brio S MT,2012,285000,63471,Petrol,Delhi
Toyota Etios VX,2016,485000,43000,Petrol,Delhi
